Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.31,"0.580 (0.557, 0.557)","0.924 (0.918, 0.918)","0.076 (0.062, 0.062)","0.941 (0.932, 0.932)","0.031 (0.015, 0.015)",AlloSure
0.32,"0.580 (0.557, 0.557)","0.926 (0.916, 0.916)","0.064 (0.000, 0.000)","0.943 (0.932, 0.932)","0.029 (0.000, 0.000)",AlloSure
0.33,"0.580 (0.557, 0.557)","0.927 (0.920, 0.920)","0.064 (0.000, 0.000)","0.945 (0.935, 0.935)","0.030 (0.000, 0.000)",AlloSure
0.34,"0.580 (0.557, 0.557)","0.929 (0.923, 0.923)","0.064 (0.000, 0.000)","0.946 (0.938, 0.938)","0.031 (0.000, 0.000)",AlloSure
0.35000000000000003,"0.580 (0.557, 0.557)","0.931 (0.926, 0.926)","0.064 (0.000, 0.000)","0.948 (0.941, 0.941)","0.032 (0.000, 0.000)",AlloSure
0.36,"0.580 (0.557, 0.557)","0.932 (0.927, 0.927)","0.064 (0.000, 0.000)","0.950 (0.942, 0.942)","0.033 (0.000, 0.000)",AlloSure
0.37,"0.580 (0.557, 0.557)","0.933 (0.930, 0.930)","0.064 (0.000, 0.000)","0.951 (0.945, 0.945)","0.033 (0.000, 0.000)",AlloSure
0.38,"0.580 (0.557, 0.557)","0.934 (0.930, 0.930)","0.064 (0.000, 0.000)","0.952 (0.945, 0.945)","0.034 (0.000, 0.000)",AlloSure
0.39,"0.580 (0.557, 0.557)","0.936 (0.933, 0.933)","0.064 (0.000, 0.000)","0.953 (0.949, 0.949)","0.034 (0.000, 0.000)",AlloSure
0.4,"0.580 (0.557, 0.557)","0.937 (0.936, 0.936)","0.056 (0.000, 0.000)","0.955 (0.952, 0.952)","0.030 (0.000, 0.000)",AlloSure
0.41000000000000003,"0.580 (0.557, 0.557)","0.938 (0.936, 0.936)","0.056 (0.000, 0.000)","0.955 (0.952, 0.952)","0.031 (0.000, 0.000)",AlloSure
0.42,"0.580 (0.557, 0.557)","0.939 (0.936, 0.936)","0.056 (0.000, 0.000)","0.956 (0.952, 0.952)","0.031 (0.000, 0.000)",AlloSure
0.43,"0.580 (0.557, 0.557)","0.939 (0.937, 0.937)","0.056 (0.000, 0.000)","0.957 (0.953, 0.953)","0.032 (0.000, 0.000)",AlloSure
0.44,"0.580 (0.557, 0.557)","0.940 (0.938, 0.938)","0.056 (0.000, 0.000)","0.958 (0.954, 0.954)","0.032 (0.000, 0.000)",AlloSure
0.45,"0.580 (0.557, 0.557)","0.941 (0.939, 0.939)","0.044 (0.000, 0.000)","0.959 (0.955, 0.955)","0.028 (0.000, 0.000)",AlloSure
0.46,"0.580 (0.557, 0.557)","0.941 (0.939, 0.939)","0.044 (0.000, 0.000)","0.959 (0.955, 0.955)","0.029 (0.000, 0.000)",AlloSure
0.47000000000000003,"0.580 (0.557, 0.557)","0.943 (0.941, 0.941)","0.044 (0.000, 0.000)","0.961 (0.957, 0.957)","0.032 (0.000, 0.000)",AlloSure
0.48,"0.580 (0.557, 0.557)","0.944 (0.943, 0.943)","0.044 (0.000, 0.000)","0.962 (0.959, 0.959)","0.032 (0.000, 0.000)",AlloSure
0.49,"0.580 (0.557, 0.557)","0.945 (0.945, 0.945)","0.044 (0.000, 0.000)","0.963 (0.961, 0.961)","0.032 (0.000, 0.000)",AlloSure
0.5,"0.580 (0.557, 0.557)","0.946 (0.946, 0.946)","0.044 (0.000, 0.000)","0.964 (0.962, 0.962)","0.034 (0.000, 0.000)",AlloSure
0.51,"0.580 (0.557, 0.557)","0.946 (0.946, 0.946)","0.044 (0.000, 0.000)","0.965 (0.962, 0.962)","0.034 (0.000, 0.000)",AlloSure
0.52,"0.580 (0.557, 0.557)","0.947 (0.946, 0.946)","0.044 (0.000, 0.000)","0.965 (0.965, 0.965)","0.034 (0.000, 0.000)",AlloSure
0.53,"0.580 (0.557, 0.557)","0.948 (0.947, 0.947)","0.044 (0.000, 0.000)","0.966 (0.966, 0.966)","0.034 (0.000, 0.000)",AlloSure
0.54,"0.580 (0.557, 0.557)","0.949 (0.948, 0.948)","0.044 (0.000, 0.000)","0.967 (0.966, 0.966)","0.036 (0.000, 0.000)",AlloSure
0.55,"0.580 (0.557, 0.557)","0.950 (0.949, 0.949)","0.044 (0.000, 0.000)","0.968 (0.967, 0.967)","0.040 (0.000, 0.000)",AlloSure
0.56,"0.580 (0.557, 0.557)","0.950 (0.950, 0.950)","0.044 (0.000, 0.000)","0.969 (0.967, 0.967)","0.040 (0.000, 0.000)",AlloSure
0.5700000000000001,"0.580 (0.557, 0.557)","0.950 (0.950, 0.950)","0.044 (0.000, 0.000)","0.969 (0.967, 0.967)","0.040 (0.000, 0.000)",AlloSure
0.58,"0.580 (0.557, 0.557)","0.951 (0.950, 0.950)","0.044 (0.000, 0.000)","0.969 (0.968, 0.968)","0.040 (0.000, 0.000)",AlloSure
